smiles,pLogS
CNC(=O)c1cc(-c2cc(C)c3c(c2)CN([C@@H](C)C2CC2)C3=O)on1,4.75696195131371
Cc1cc(-c2cc(C(=O)N(C)C)no2)cc2c1C(=O)N(C(C)C)C2,4.71669877129645
CC(C)N1Cc2cc(-c3cc(C(N)=O)no3)cc(Cl)c2C1=O,4.66958622665081
Cc1cc(-c2cc(C(=O)N(C)C)no2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,4.50723961097316
C[C@@H](C1CC1)N1Cc2cc(-c3cc(C(=O)N(C)C)no3)cc(Cl)c2C1=O,4.47625353318844
CC(C)N1Cc2cc(-c3cc(C(=O)N(C)CCO)no3)cc(Cl)c2C1=O,4.26680273489343
CC(C)N1Cc2cc(-c3cc(C(=O)N4CCOCC4)no3)cc(Cl)c2C1=O,4.17848647159523
Cc1cc(-c2cc(C(=O)N(C)CCO)no2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,3.8153085691824002
C[C@@H](C1CC1)N1Cc2cc(-c3cc(C(=O)N(C)CCO)no3)cc(Cl)c2C1=O,3.56383735295924
Cc1cc(-c2cc(C(=O)N3CCNCC3)no2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,3.36151074304536
CN(C)C1(c2ccccc2)CCC2(OCCc3c2[nH]c2ccccc32)C(CO)C1,5.0
CN(C)C1(c2ccccc2)CCC2(OCCc3c2[nH]c2ccccc32)C(CCO)C1,4.52287874528034
CN(C)C1(c2cccc(O)c2)CCC2(CC1)OCCc1c2[nH]c2ccccc12,6.0
CN(C)C1(c2ccccc2)CCC2(CC1)NCCc1c2[nH]c2ccccc12,5.0
